URN, Image Reference
urn:cts:greekLit:tlg0012.tlg001.msA:11.93, "urn:cite:hmt:vaimg.VA139RN-0311@0.1723,0.5451,0.3968,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:11.94, "urn:cite:hmt:vaimg.VA139RN-0311@0.1713,0.5662,0.3988,0.0286"
urn:cts:greekLit:tlg0012.tlg001.msA:11.95, "urn:cite:hmt:vaimg.VA139RN-0311@0.1754,0.5872,0.3948,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.96, "urn:cite:hmt:vaimg.VA139RN-0311@0.1683,0.6038,0.4309,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:11.97, "urn:cite:hmt:vaimg.VA139RN-0311@0.1683,0.6226,0.4028,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:11.98, "urn:cite:hmt:vaimg.VA139RN-0311@0.1643,0.6429,0.4589,0.0286"
urn:cts:greekLit:tlg0012.tlg001.msA:11.99, "urn:cite:hmt:vaimg.VA139RN-0311@0.1653,0.6624,0.4439,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:11.100, "urn:cite:hmt:vaimg.VA139RN-0311@0.1703,0.682,0.4259,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:11.101, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.102, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.103, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.104, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.105, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.106, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.107, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.108, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.109, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.110, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.111, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.112, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.113, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.114, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.115, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.116, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.117, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.118, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.119, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.120, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.121, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.122, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.123, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.124, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.125, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.126, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.127, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.128, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.129, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.130, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.131, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.132, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.133, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.134, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.135, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.136, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.137, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.138, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.139, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.140, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.141, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.142, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.143, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.144, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.145, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.146, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.147, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.148, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.149, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.150, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.151, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.152, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.153, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.154, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.155, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.156, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.157, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.158, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.159, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.160, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.161, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.162, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.163, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.164, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.165, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.166, ""
urn:cts:greekLit:tlg0012.tlg001.msA:11.167, ""
